RS,BA,OBP,SLG,Year,Team,League,RA,OOBP,OSLG,W,G,Playoffs,RankSeason,RankPlayoffs
619,.253,.320,.369,2014,STL,NL,603,.308,.366,90,162,1,4.0,3.0
660,.253,.310,.398,2014,CHW,AL,758,.337,.401,73,162,0,,
595,.238,.296,.365,2014,CIN,NL,612,.309,.383,76,162,0,,
669,.253,.317,.389,2014,CLE,AL,653,.312,.385,85,162,0,,
615,.248,.302,.376,2014,ARI,NL,742,.326,.414,64,162,0,,
614,.239,.300,.385,2014,CHC,NL,707,.318,.376,73,162,0,,
602,.238,.300,.392,2013,CHC,NL,689,.318,.400,66,162,0,,
853,.277,.349,.446,2013,BOS,AL,656,.316,.393,97,162,1,1.0,1.0
745,.255,.327,.410,2013,CLE,AL,662,.322,.386,92,162,1,5.0,5.0
706,.270,.323,.418,2013,COL,NL,760,.340,.423,74,162,0,,
796,.283,.346,.434,2013,DET,AL,624,.308,.373,93,162,1,4.0,3.0
610,.240,.299,.375,2013,HOU,AL,848,.347,.445,51,162,0,,
513,.231,.293,.335,2013,MIA,NL,646,.319,.384,62,162,0,,
649,.264,.326,.396,2013,LAD,NL,582,.306,.365,92,162,1,5.0,3.0
733,.264,.329,.414,2013,LAA,AL,737,.328,.408,78,162,0,,
648,.260,.315,.379,2013,KCR,AL,601,.311,.387,86,162,0,,
650,.242,.307,.376,2013,NYY,AL,671,.318,.413,85,162,0,,
619,.237,.306,.366,2013,NYM,NL,684,.316,.393,74,162,0,,
614,.242,.312,.380,2013,MIN,AL,788,.336,.434,66,162,0,,
640,.252,.311,.398,2013,MIL,NL,687,.317,.397,74,162,0,,
698,.249,.327,.391,2013,CIN,NL,589,.298,.384,90,162,1,7.0,5.0
598,.249,.302,.378,2013,CHW,AL,723,.322,.408,63,162,0,,
767,.254,.327,.419,2013,OAK,AL,625,.299,.379,96,162,1,2.0,4.0
610,.248,.306,.384,2013,PHI,NL,749,.331,.415,73,162,0,,
634,.245,.313,.396,2013,PIT,NL,577,.309,.341,94,162,1,3.0,4.0
618,.245,.308,.378,2013,SDP,NL,700,.322,.403,76,162,0,,
629,.260,.320,.381,2013,SFG,NL,691,.320,.390,76,162,0,,
624,.237,.306,.390,2013,SEA,AL,754,.319,.417,71,162,0,,
656,.251,.313,.398,2013,WSN,NL,626,.305,.379,86,162,0,,
712,.252,.318,.411,2013,TOR,AL,756,.324,.426,74,162,0,,
730,.262,.323,.412,2013,TEX,AL,636,.313,.387,91,163,0,,
700,.257,.329,.408,2013,TBR,AL,646,.305,.381,92,163,1,6.0,4.0
783,.269,.332,.401,2013,STL,NL,596,.311,.368,97,162,1,1.0,2.0
745,.260,.313,.431,2013,BAL,AL,709,.321,.428,85,162,0,,
688,.249,.321,.402,2013,ATL,NL,548,.301,.370,96,162,1,2.0,4.0
685,.259,.323,.391,2013,ARI,NL,695,.320,.411,81,162,0,,
734,0.259,0.328,0.418,2012,ARI,NL,688,0.317,0.415,81,162,0,,
700,0.247,0.32,0.389,2012,ATL,NL,600,0.306,0.378,94,162,1,4.0,5.0
712,0.247,0.311,0.417,2012,BAL,AL,705,0.315,0.403,93,162,1,5.0,4.0
734,0.26,0.315,0.415,2012,BOS,AL,806,0.331,0.428,69,162,0,,
613,0.24,0.302,0.378,2012,CHC,NL,759,0.335,0.424,61,162,0,,
748,0.255,0.318,0.422,2012,CHW,AL,676,0.319,0.405,85,162,0,,
669,0.251,0.315,0.411,2012,CIN,NL,588,0.305,0.39,97,162,1,2.0,4.0
667,0.251,0.324,0.381,2012,CLE,AL,845,0.336,0.43,68,162,0,,
758,0.274,0.33,0.436,2012,COL,NL,890,0.357,0.47,64,162,0,,
726,0.268,0.335,0.422,2012,DET,AL,670,0.314,0.402,88,162,1,6.0,2.0
583,0.236,0.302,0.371,2012,HOU,NL,794,0.337,0.427,55,162,0,,
676,0.265,0.317,0.4,2012,KCR,AL,746,0.339,0.423,72,162,0,,
767,0.274,0.332,0.433,2012,LAA,AL,699,0.31,0.403,89,162,0,,
637,0.252,0.317,0.374,2012,LAD,NL,597,0.31,0.364,86,162,0,,
609,0.244,0.308,0.382,2012,MIA,NL,724,0.327,0.399,69,162,0,,
776,0.259,0.325,0.437,2012,MIL,NL,733,0.326,0.414,83,162,0,,
701,0.26,0.325,0.39,2012,MIN,AL,832,0.333,0.442,66,162,0,,
650,0.249,0.316,0.386,2012,NYM,NL,709,0.315,0.401,74,162,0,,
804,0.265,0.337,0.453,2012,NYY,AL,668,0.311,0.419,95,162,1,3.0,3.0
713,0.238,0.31,0.404,2012,OAK,AL,614,0.306,0.378,94,162,1,4.0,4.0
684,0.255,0.317,0.4,2012,PHI,NL,680,0.306,0.407,81,162,0,,
651,0.243,0.304,0.395,2012,PIT,NL,674,0.314,0.39,79,162,0,,
651,0.247,0.319,0.38,2012,SDP,NL,710,0.319,0.398,76,162,0,,
619,0.234,0.296,0.369,2012,SEA,AL,651,0.308,0.394,75,162,0,,
718,0.269,0.327,0.397,2012,SFG,NL,649,0.313,0.393,94,162,1,4.0,1.0
765,0.271,0.338,0.421,2012,STL,NL,648,0.313,0.387,88,162,1,6.0,3.0
697,0.24,0.317,0.394,2012,TBR,AL,577,0.294,0.352,90,162,0,,
808,0.273,0.334,0.446,2012,TEX,AL,707,0.309,0.408,93,162,1,5.0,5.0
716,0.245,0.309,0.407,2012,TOR,AL,784,0.335,0.438,73,162,0,,
731,0.261,0.322,0.428,2012,WSN,NL,594,0.303,0.373,98,162,1,1.0,4.0
731,0.25,0.322,0.413,2011,ARI,NL,662,0.316,0.409,94,162,1,5.0,4.0
641,0.243,0.308,0.387,2011,ATL,NL,605,0.31,0.361,89,162,0,,
708,0.257,0.316,0.413,2011,BAL,AL,860,0.341,0.46,69,162,0,,
875,0.28,0.349,0.461,2011,BOS,AL,737,0.322,0.392,90,162,0,,
654,0.256,0.314,0.401,2011,CHC,NL,756,0.335,0.413,71,162,0,,
654,0.252,0.319,0.388,2011,CHW,AL,706,0.317,0.397,79,162,0,,
735,0.256,0.326,0.408,2011,CIN,NL,720,0.325,0.415,79,162,0,,
704,0.25,0.317,0.396,2011,CLE,AL,760,0.323,0.413,80,162,0,,
735,0.258,0.329,0.41,2011,COL,NL,774,0.331,0.431,73,162,0,,
787,0.277,0.34,0.434,2011,DET,AL,711,0.321,0.396,95,162,1,4.0,3.0
625,0.247,0.318,0.388,2011,FLA,NL,702,0.316,0.401,72,162,0,,
615,0.258,0.311,0.374,2011,HOU,NL,796,0.337,0.432,56,162,0,,
730,0.275,0.329,0.415,2011,KCR,AL,762,0.337,0.425,71,162,0,,
667,0.253,0.313,0.402,2011,LAA,AL,633,0.313,0.388,86,162,0,,
644,0.257,0.322,0.375,2011,LAD,NL,612,0.31,0.371,82,161,0,,
721,0.261,0.325,0.425,2011,MIL,NL,638,0.304,0.385,96,162,1,3.0,3.0
619,0.247,0.306,0.36,2011,MIN,AL,804,0.34,0.435,63,162,0,,
718,0.264,0.335,0.391,2011,NYM,NL,742,0.332,0.411,77,162,0,,
867,0.263,0.343,0.444,2011,NYY,AL,657,0.322,0.399,97,162,1,2.0,4.0
645,0.244,0.311,0.369,2011,OAK,AL,679,0.317,0.378,74,162,0,,
713,0.253,0.323,0.395,2011,PHI,NL,529,0.296,0.361,102,162,1,1.0,4.0
610,0.244,0.309,0.368,2011,PIT,NL,712,0.338,0.409,72,162,0,,
593,0.237,0.305,0.349,2011,SDP,NL,611,0.314,0.375,71,162,0,,
556,0.233,0.292,0.348,2011,SEA,AL,675,0.31,0.386,67,162,0,,
570,0.242,0.303,0.368,2011,SFG,NL,578,0.309,0.346,86,162,0,,
762,0.273,0.341,0.425,2011,STL,NL,692,0.319,0.398,90,162,1,7.0,1.0
707,0.244,0.322,0.402,2011,TBR,AL,614,0.303,0.383,91,162,1,6.0,4.0
855,0.283,0.34,0.46,2011,TEX,AL,677,0.307,0.392,96,162,1,3.0,2.0
743,0.249,0.317,0.413,2011,TOR,AL,761,0.328,0.419,81,162,0,,
624,0.242,0.309,0.383,2011,WSN,NL,643,0.319,0.382,80,161,0,,
713,0.25,0.325,0.416,2010,ARI,NL,836,0.34,0.448,65,162,0,,
738,0.258,0.339,0.401,2010,ATL,NL,629,0.314,0.376,91,162,1,6.0,4.0
613,0.259,0.316,0.386,2010,BAL,AL,785,0.336,0.434,66,162,0,,
818,0.268,0.339,0.451,2010,BOS,AL,744,0.327,0.399,89,162,0,,
685,0.257,0.32,0.401,2010,CHC,NL,767,0.334,0.398,75,162,0,,
752,0.268,0.332,0.42,2010,CHW,AL,704,0.325,0.395,88,162,0,,
790,0.272,0.338,0.436,2010,CIN,NL,685,0.323,0.396,91,162,1,6.0,4.0
646,0.248,0.322,0.378,2010,CLE,AL,752,0.342,0.416,69,162,0,,
770,0.263,0.336,0.425,2010,COL,NL,717,0.326,0.397,83,162,0,,
751,0.268,0.335,0.415,2010,DET,AL,743,0.332,0.4,81,162,0,,
719,0.254,0.321,0.403,2010,FLA,NL,717,0.331,0.398,80,162,0,,
611,0.247,0.303,0.362,2010,HOU,NL,729,0.33,0.402,76,162,0,,
676,0.274,0.331,0.399,2010,KCR,AL,845,0.342,0.435,67,162,0,,
681,0.248,0.311,0.39,2010,LAA,AL,702,0.327,0.403,80,162,0,,
667,0.252,0.322,0.379,2010,LAD,NL,692,0.316,0.378,80,162,0,,
750,0.262,0.335,0.424,2010,MIL,NL,804,0.338,0.427,77,162,0,,
781,0.273,0.341,0.422,2010,MIN,AL,671,0.317,0.417,94,162,1,4.0,4.0
656,0.249,0.314,0.383,2010,NYM,NL,652,0.33,0.394,79,162,0,,
859,0.267,0.35,0.436,2010,NYY,AL,693,0.322,0.399,95,162,1,3.0,3.0
663,0.256,0.324,0.378,2010,OAK,AL,626,0.313,0.379,81,162,0,,
772,0.26,0.332,0.413,2010,PHI,NL,640,0.311,0.405,97,162,1,1.0,3.0
587,0.242,0.304,0.373,2010,PIT,NL,866,0.348,0.449,57,162,0,,
665,0.246,0.317,0.371,2010,SDP,NL,581,0.308,0.368,90,162,0,,
513,0.236,0.298,0.339,2010,SEA,AL,698,0.313,0.401,61,162,0,,
697,0.257,0.321,0.408,2010,SFG,NL,583,0.313,0.37,92,162,1,5.0,1.0
736,0.263,0.332,0.402,2010,STL,NL,641,0.319,0.387,86,162,0,,
802,0.247,0.333,0.403,2010,TBR,AL,649,0.308,0.404,96,162,1,2.0,4.0
787,0.276,0.338,0.419,2010,TEX,AL,687,0.319,0.39,90,162,1,7.0,2.0
755,0.248,0.312,0.454,2010,TOR,AL,728,0.326,0.405,85,162,0,,
655,0.25,0.318,0.39,2010,WSN,NL,742,0.33,0.41,69,162,0,,
720,0.253,0.324,0.418,2009,ARI,NL,782,0.33,0.419,70,162,0,,
735,0.263,0.339,0.405,2009,ATL,NL,641,0.323,0.39,86,162,0,,
741,0.268,0.332,0.415,2009,BAL,AL,876,0.353,0.476,64,162,0,,
872,0.27,0.352,0.454,2009,BOS,AL,736,0.335,0.422,95,162,1,3.0,4.0
707,0.255,0.332,0.407,2009,CHC,NL,672,0.324,0.391,83,161,0,,
724,0.258,0.329,0.411,2009,CHW,AL,732,0.325,0.414,79,162,0,,
673,0.247,0.318,0.394,2009,CIN,NL,723,0.333,0.418,78,162,0,,
773,0.264,0.339,0.417,2009,CLE,AL,865,0.351,0.443,65,162,0,,
804,0.261,0.343,0.441,2009,COL,NL,715,0.328,0.405,92,162,1,5.0,4.0
743,0.26,0.331,0.416,2009,DET,AL,745,0.336,0.422,86,163,0,,
772,0.268,0.34,0.416,2009,FLA,NL,766,0.333,0.408,87,162,0,,
643,0.26,0.319,0.4,2009,HOU,NL,770,0.344,0.44,74,162,0,,
686,0.259,0.318,0.405,2009,KCR,AL,842,0.343,0.422,65,162,0,,
883,0.285,0.35,0.441,2009,LAA,AL,761,0.338,0.432,97,162,1,2.0,3.0
780,0.27,0.346,0.412,2009,LAD,NL,611,0.312,0.361,95,162,1,3.0,3.0
785,0.263,0.341,0.426,2009,MIL,NL,818,0.345,0.45,80,162,0,,
817,0.274,0.345,0.429,2009,MIN,AL,765,0.331,0.431,87,163,1,7.0,4.0
671,0.27,0.335,0.394,2009,NYM,NL,757,0.342,0.418,70,162,0,,
915,0.283,0.362,0.478,2009,NYY,AL,753,0.327,0.408,103,162,1,1.0,1.0
759,0.262,0.328,0.397,2009,OAK,AL,761,0.329,0.413,75,162,0,,
820,0.258,0.334,0.447,2009,PHI,NL,709,0.329,0.427,93,162,1,4.0,2.0
636,0.252,0.318,0.387,2009,PIT,NL,768,0.346,0.442,62,161,0,,
638,0.242,0.321,0.381,2009,SDP,NL,769,0.333,0.406,75,162,0,,
640,0.258,0.314,0.402,2009,SEA,AL,692,0.316,0.394,85,162,0,,
657,0.257,0.309,0.389,2009,SFG,NL,611,0.314,0.372,88,162,0,,
730,0.263,0.332,0.415,2009,STL,NL,640,0.319,0.386,91,162,1,6.0,4.0
803,0.263,0.343,0.439,2009,TBR,AL,754,0.324,0.417,84,162,0,,
784,0.26,0.32,0.445,2009,TEX,AL,740,0.331,0.416,87,162,0,,
798,0.266,0.333,0.44,2009,TOR,AL,771,0.339,0.434,75,162,0,,
710,0.258,0.337,0.406,2009,WSN,NL,874,0.352,0.45,59,162,0,,
720,0.251,0.327,0.415,2008,ARI,NL,706,0.318,0.398,82,162,0,,
753,0.27,0.345,0.408,2008,ATL,NL,778,0.336,0.423,72,162,0,,
782,0.267,0.333,0.429,2008,BAL,AL,869,0.361,0.435,68,161,0,,
845,0.28,0.358,0.447,2008,BOS,AL,694,0.323,0.39,95,162,1,3.0,3.0
855,0.278,0.354,0.443,2008,CHC,NL,671,0.316,0.395,97,161,1,2.0,4.0
811,0.263,0.332,0.448,2008,CHW,AL,729,0.32,0.41,89,163,1,6.0,4.0
704,0.247,0.321,0.408,2008,CIN,NL,800,0.345,0.45,74,162,0,,
805,0.262,0.339,0.424,2008,CLE,AL,761,0.33,0.424,81,162,0,,
747,0.263,0.336,0.415,2008,COL,NL,822,0.344,0.431,74,162,0,,
821,0.271,0.34,0.444,2008,DET,AL,857,0.353,0.437,74,162,0,,
770,0.254,0.326,0.433,2008,FLA,NL,767,0.333,0.407,84,161,0,,
712,0.263,0.323,0.415,2008,HOU,NL,743,0.328,0.44,86,161,0,,
691,0.269,0.32,0.397,2008,KCR,AL,781,0.328,0.415,75,162,0,,
765,0.268,0.33,0.413,2008,LAA,AL,697,0.323,0.406,100,162,1,1.0,4.0
700,0.264,0.333,0.399,2008,LAD,NL,648,0.315,0.376,84,162,1,7.0,3.0
750,0.253,0.325,0.431,2008,MIL,NL,689,0.323,0.406,90,162,1,5.0,4.0
829,0.279,0.34,0.408,2008,MIN,AL,745,0.324,0.431,88,163,0,,
799,0.266,0.34,0.42,2008,NYM,NL,715,0.331,0.397,89,162,0,,
789,0.271,0.342,0.427,2008,NYY,AL,727,0.329,0.405,89,162,0,,
646,0.242,0.318,0.369,2008,OAK,AL,690,0.328,0.392,75,161,0,,
799,0.255,0.332,0.438,2008,PHI,NL,680,0.329,0.41,92,162,1,4.0,1.0
735,0.258,0.32,0.403,2008,PIT,NL,884,0.362,0.454,67,162,0,,
637,0.25,0.317,0.39,2008,SDP,NL,764,0.332,0.409,63,162,0,,
671,0.265,0.318,0.389,2008,SEA,AL,811,0.351,0.433,61,162,0,,
640,0.262,0.321,0.382,2008,SFG,NL,759,0.341,0.404,72,162,0,,
779,0.281,0.35,0.433,2008,STL,NL,725,0.332,0.431,86,162,0,,
774,0.26,0.34,0.422,2008,TBR,AL,671,0.314,0.4,97,162,1,2.0,2.0
901,0.283,0.354,0.462,2008,TEX,AL,967,0.362,0.455,79,162,0,,
714,0.264,0.331,0.399,2008,TOR,AL,610,0.309,0.38,86,162,0,,
641,0.251,0.323,0.373,2008,WSN,NL,825,0.343,0.436,59,161,0,,
712,0.25,0.321,0.413,2007,ARI,NL,732,0.334,0.42,90,162,1,3.0,3.0
810,0.275,0.339,0.435,2007,ATL,NL,733,0.327,0.415,84,162,0,,
756,0.272,0.333,0.412,2007,BAL,AL,868,0.354,0.412,69,162,0,,
867,0.279,0.362,0.444,2007,BOS,AL,657,0.314,0.392,96,162,1,1.0,1.0
752,0.271,0.333,0.422,2007,CHC,NL,690,0.322,0.399,85,162,1,5.0,4.0
693,0.246,0.318,0.404,2007,CHW,AL,839,0.338,0.435,72,162,0,,
783,0.267,0.335,0.436,2007,CIN,NL,853,0.343,0.456,72,162,0,,
811,0.268,0.343,0.428,2007,CLE,AL,704,0.322,0.407,96,162,1,1.0,3.0
860,0.28,0.354,0.437,2007,COL,NL,758,0.33,0.423,90,163,1,3.0,2.0
887,0.287,0.345,0.458,2007,DET,AL,797,0.338,0.427,88,162,0,,
790,0.267,0.336,0.448,2007,FLA,NL,891,0.364,0.442,71,162,0,,
723,0.26,0.33,0.412,2007,HOU,NL,813,0.337,0.454,73,162,0,,
706,0.261,0.322,0.388,2007,KCR,AL,778,0.339,0.445,69,162,0,,
822,0.284,0.345,0.417,2007,LAA,AL,731,0.328,0.412,94,162,1,2.0,4.0
735,0.275,0.337,0.406,2007,LAD,NL,727,0.326,0.399,82,162,0,,
801,0.262,0.329,0.456,2007,MIL,NL,776,0.333,0.422,83,162,0,,
718,0.264,0.33,0.391,2007,MIN,AL,725,0.324,0.431,79,162,0,,
804,0.275,0.342,0.432,2007,NYM,NL,750,0.329,0.409,88,162,0,,
968,0.29,0.366,0.463,2007,NYY,AL,777,0.34,0.417,94,162,1,2.0,4.0
741,0.256,0.338,0.407,2007,OAK,AL,758,0.329,0.404,76,162,0,,
892,0.274,0.354,0.458,2007,PHI,NL,821,0.346,0.451,89,162,1,4.0,4.0
724,0.263,0.325,0.411,2007,PIT,NL,846,0.352,0.447,68,162,0,,
741,0.251,0.322,0.411,2007,SDP,NL,666,0.311,0.374,89,163,0,,
794,0.287,0.337,0.425,2007,SEA,AL,813,0.349,0.431,88,162,0,,
683,0.254,0.322,0.387,2007,SFG,NL,720,0.334,0.405,71,162,0,,
725,0.274,0.337,0.405,2007,STL,NL,829,0.336,0.431,78,162,0,,
782,0.268,0.336,0.433,2007,TBD,AL,944,0.358,0.467,66,162,0,,
816,0.263,0.328,0.426,2007,TEX,AL,844,0.356,0.423,75,162,0,,
753,0.259,0.327,0.419,2007,TOR,AL,699,0.315,0.391,83,162,0,,
673,0.256,0.325,0.39,2007,WSN,NL,783,0.339,0.433,73,162,0,,
773,0.267,0.331,0.424,2006,ARI,NL,788,0.335,0.431,76,162,0,,
849,0.27,0.337,0.455,2006,ATL,NL,805,0.343,0.438,79,162,0,,
768,0.277,0.339,0.424,2006,BAL,AL,899,0.357,0.462,70,162,0,,
820,0.269,0.351,0.435,2006,BOS,AL,825,0.343,0.447,86,162,0,,
716,0.268,0.319,0.422,2006,CHC,NL,834,0.342,0.431,66,162,0,,
868,0.28,0.342,0.464,2006,CHW,AL,794,0.326,0.44,90,162,0,,
749,0.257,0.336,0.432,2006,CIN,NL,801,0.337,0.457,80,162,0,,
870,0.28,0.349,0.457,2006,CLE,AL,782,0.335,0.431,78,162,0,,
813,0.27,0.341,0.433,2006,COL,NL,812,0.346,0.438,76,162,0,,
822,0.274,0.329,0.449,2006,DET,AL,675,0.321,0.405,95,162,1,3.0,2.0
758,0.264,0.331,0.435,2006,FLA,NL,772,0.347,0.423,78,162,0,,
735,0.255,0.332,0.409,2006,HOU,NL,719,0.319,0.421,82,162,0,,
757,0.271,0.332,0.411,2006,KCR,AL,971,0.367,0.476,62,162,0,,
766,0.274,0.334,0.425,2006,LAA,AL,732,0.316,0.402,89,162,0,,
820,0.276,0.348,0.432,2006,LAD,NL,751,0.33,0.418,88,162,1,5.0,4.0
730,0.258,0.327,0.42,2006,MIL,NL,833,0.333,0.438,75,162,0,,
801,0.287,0.347,0.425,2006,MIN,AL,683,0.312,0.423,96,162,1,2.0,4.0
834,0.264,0.334,0.445,2006,NYM,NL,731,0.323,0.407,97,162,1,1.0,3.0
930,0.285,0.363,0.461,2006,NYY,AL,767,0.326,0.413,97,162,1,1.0,4.0
771,0.26,0.34,0.412,2006,OAK,AL,727,0.338,0.422,93,162,1,4.0,3.0
865,0.267,0.347,0.447,2006,PHI,NL,812,0.339,0.46,85,162,0,,
691,0.263,0.327,0.397,2006,PIT,NL,797,0.357,0.431,67,162,0,,
731,0.263,0.332,0.416,2006,SDP,NL,679,0.312,0.404,88,162,1,5.0,4.0
756,0.272,0.325,0.424,2006,SEA,AL,792,0.337,0.432,78,162,0,,
746,0.259,0.324,0.422,2006,SFG,NL,790,0.337,0.415,76,161,0,,
781,0.269,0.337,0.431,2006,STL,NL,762,0.337,0.443,83,161,1,6.0,1.0
689,0.255,0.314,0.42,2006,TBD,AL,856,0.358,0.452,61,162,0,,
835,0.278,0.338,0.446,2006,TEX,AL,784,0.341,0.424,80,162,0,,
809,0.284,0.348,0.463,2006,TOR,AL,754,0.328,0.422,87,162,0,,
746,0.262,0.338,0.418,2006,WSN,NL,872,0.349,0.447,71,162,0,,
696,0.256,0.332,0.421,2005,ARI,NL,856,0.345,0.455,77,162,0,,
769,0.265,0.333,0.435,2005,ATL,NL,674,0.333,0.406,90,162,1,4.0,4.0
729,0.269,0.327,0.434,2005,BAL,AL,800,0.336,0.416,74,162,0,,
910,0.281,0.357,0.454,2005,BOS,AL,805,0.335,0.441,95,162,1,3.0,4.0
703,0.27,0.324,0.44,2005,CHC,NL,714,0.325,0.407,79,162,0,,
741,0.262,0.322,0.425,2005,CHW,AL,645,0.31,0.397,99,162,1,2.0,1.0
820,0.261,0.339,0.446,2005,CIN,NL,889,0.352,0.483,73,163,0,,
790,0.271,0.334,0.453,2005,CLE,AL,642,0.302,0.387,93,162,0,,
740,0.267,0.333,0.411,2005,COL,NL,862,0.362,0.457,67,162,0,,
723,0.272,0.321,0.428,2005,DET,AL,787,0.33,0.436,71,162,0,,
717,0.272,0.339,0.409,2005,FLA,NL,732,0.339,0.402,83,162,0,,
693,0.256,0.322,0.408,2005,HOU,NL,609,0.308,0.389,89,163,1,5.0,2.0
701,0.263,0.32,0.396,2005,KCR,AL,935,0.362,0.463,56,162,0,,
761,0.27,0.325,0.409,2005,LAA,AL,643,0.312,0.401,95,162,1,3.0,3.0
685,0.253,0.326,0.395,2005,LAD,NL,755,0.327,0.429,71,162,0,,
726,0.259,0.331,0.423,2005,MIL,NL,697,0.324,0.408,81,162,0,,
688,0.259,0.323,0.391,2005,MIN,AL,662,0.307,0.408,83,162,0,,
722,0.258,0.322,0.416,2005,NYM,NL,648,0.321,0.387,83,162,0,,
886,0.276,0.355,0.45,2005,NYY,AL,789,0.332,0.422,95,162,1,3.0,4.0
772,0.262,0.33,0.407,2005,OAK,AL,658,0.311,0.382,88,162,0,,
807,0.27,0.348,0.423,2005,PHI,NL,726,0.32,0.426,88,162,0,,
680,0.259,0.322,0.4,2005,PIT,NL,769,0.344,0.424,67,162,0,,
684,0.257,0.333,0.391,2005,SDP,NL,726,0.322,0.408,82,162,1,6.0,4.0
699,0.256,0.317,0.391,2005,SEA,AL,751,0.332,0.422,69,162,0,,
649,0.261,0.319,0.396,2005,SFG,NL,745,0.336,0.412,75,162,0,,
805,0.27,0.339,0.423,2005,STL,NL,634,0.318,0.398,100,162,1,1.0,3.0
750,0.274,0.329,0.425,2005,TBD,AL,936,0.355,0.455,67,162,0,,
865,0.267,0.329,0.468,2005,TEX,AL,858,0.343,0.428,79,162,0,,
775,0.265,0.331,0.407,2005,TOR,AL,705,0.324,0.418,80,162,0,,
639,0.252,0.322,0.386,2005,WSN,NL,673,0.333,0.396,81,162,0,,
836,0.282,0.341,0.429,2004,ANA,AL,734,0.326,0.415,92,162,1,6.0,4.0
615,0.253,0.31,0.393,2004,ARI,NL,899,0.35,0.439,51,162,0,,
803,0.27,0.343,0.434,2004,ATL,NL,668,0.329,0.4,96,162,1,4.0,4.0
842,0.281,0.345,0.432,2004,BAL,AL,830,0.348,0.404,78,162,0,,
949,0.282,0.36,0.472,2004,BOS,AL,768,0.318,0.408,98,162,1,3.0,1.0
789,0.268,0.328,0.458,2004,CHC,NL,665,0.321,0.395,89,162,0,,
865,0.268,0.333,0.457,2004,CHW,AL,831,0.338,0.453,83,162,0,,
750,0.25,0.331,0.418,2004,CIN,NL,907,0.348,0.481,76,162,0,,
858,0.276,0.351,0.444,2004,CLE,AL,857,0.342,0.445,80,162,0,,
833,0.275,0.345,0.455,2004,COL,NL,923,0.372,0.471,68,162,0,,
827,0.272,0.337,0.449,2004,DET,AL,844,0.34,0.441,72,162,0,,
718,0.264,0.329,0.406,2004,FLA,NL,700,0.324,0.412,83,162,0,,
803,0.267,0.342,0.436,2004,HOU,NL,698,0.328,0.417,92,162,1,6.0,3.0
720,0.259,0.322,0.397,2004,KCR,AL,905,0.352,0.476,58,162,0,,
761,0.262,0.332,0.423,2004,LAD,NL,684,0.323,0.408,93,162,1,5.0,4.0
634,0.248,0.321,0.387,2004,MIL,NL,757,0.32,0.417,67,161,0,,
780,0.266,0.332,0.431,2004,MIN,AL,715,0.323,0.406,92,162,1,6.0,4.0
635,0.249,0.313,0.392,2004,MON,NL,769,0.342,0.431,67,162,0,,
684,0.249,0.317,0.409,2004,NYM,NL,731,0.335,0.405,71,162,0,,
897,0.268,0.353,0.458,2004,NYY,AL,808,0.328,0.432,101,162,1,2.0,3.0
793,0.27,0.343,0.433,2004,OAK,AL,742,0.332,0.409,91,162,0,,
840,0.267,0.345,0.443,2004,PHI,NL,781,0.33,0.448,86,162,0,,
680,0.26,0.321,0.401,2004,PIT,NL,744,0.342,0.416,72,161,0,,
768,0.273,0.342,0.414,2004,SDP,NL,705,0.318,0.431,87,162,0,,
698,0.27,0.331,0.396,2004,SEA,AL,823,0.338,0.441,63,162,0,,
850,0.27,0.357,0.438,2004,SFG,NL,770,0.332,0.423,91,162,0,,
855,0.278,0.344,0.46,2004,STL,NL,659,0.313,0.403,105,162,1,1.0,2.0
714,0.258,0.32,0.405,2004,TBD,AL,842,0.342,0.438,70,161,0,,
860,0.266,0.329,0.457,2004,TEX,AL,794,0.344,0.432,89,162,0,,
719,0.26,0.328,0.403,2004,TOR,AL,823,0.348,0.434,67,161,0,,
736,0.268,0.33,0.413,2003,ANA,AL,743,0.327,0.421,77,162,0,,
717,0.263,0.33,0.417,2003,ARI,NL,685,0.322,0.388,84,162,0,,
907,0.284,0.349,0.475,2003,ATL,NL,740,0.327,0.401,101,162,1,1.0,4.0
743,0.268,0.323,0.405,2003,BAL,AL,820,0.346,0.446,71,163,0,,
961,0.289,0.36,0.491,2003,BOS,AL,809,0.327,0.415,95,162,1,4.0,3.0
724,0.259,0.323,0.416,2003,CHC,NL,683,0.324,0.372,88,162,1,7.0,3.0
791,0.263,0.331,0.446,2003,CHW,AL,715,0.322,0.404,86,162,0,,
694,0.245,0.318,0.395,2003,CIN,NL,886,0.349,0.463,69,162,0,,
699,0.254,0.316,0.401,2003,CLE,AL,778,0.329,0.426,68,162,0,,
853,0.267,0.344,0.445,2003,COL,NL,892,0.359,0.47,74,162,0,,
591,0.24,0.3,0.375,2003,DET,AL,928,0.352,0.461,43,162,0,,
751,0.266,0.333,0.421,2003,FLA,NL,692,0.325,0.396,91,162,1,5.0,1.0
805,0.263,0.336,0.431,2003,HOU,NL,677,0.326,0.397,87,162,0,,
836,0.274,0.336,0.427,2003,KCR,AL,867,0.348,0.45,83,162,0,,
574,0.243,0.303,0.368,2003,LAD,NL,556,0.306,0.354,85,162,0,,
714,0.256,0.329,0.419,2003,MIL,NL,873,0.348,0.462,68,162,0,,
801,0.277,0.341,0.431,2003,MIN,AL,758,0.319,0.428,90,162,1,6.0,4.0
711,0.258,0.326,0.401,2003,MON,NL,716,0.327,0.423,83,162,0,,
